row,meeting,date,order_in_day,symposium,title,lecture_additional_info,speaker_lcsh,speaker_display_name,speaker_position,speaker_institution,speaker_position_2,speaker_institution_2,speaker_2_lcsh,speaker_2_display_name,speaker_2_position,speaker_2_institution,speaker_2_position_2,speaker_2_institution_2,abstract,admin_category,aps_departments,academic_disciplines,lcsh_topic,lcsh_geographic,lcsh_temporal,lcsh_name_personal,lcsh_name_corporate,doi,diglib_url,pid,diglib_url_old,service_file,youtube_url,display_notes,admin_notes,add_speakers,check_physical_program,check_video
114,April 2007,2007-4-26,1,,Infinite Possibilities: Eight Years of Study of the Archimedes Palimpsest,,"Noel, William",William Noel,Curator of Manuscripts and Rare Books,Walters Art Museum,,,"Easton, Roger L., Jr.","Roger L. Easton, Jr.",,"Chester F. Carlson Center for Imaging Science, Rochester Institute of Technology",,,"Dr. Noel and Dr. Easton discuss the Archimedes Palimpsest project at the Walters Museum in Baltimore, Maryland.",LECTURE,,History|Art History,Manuscripts; Image processing--Digital techniques; Digital libraries; Archimedes codex,Baltimore (Md.),,,,,https://diglib.amphilsoc.org/islandora/object/video747obj,video:747,https://diglib.amphilsoc.org/islandora/object/video:747,https://diglib.amphilsoc.org/_flysystem/fedora/2024-01/318498-Service%20File.mp4,,,,,,
502,April 2018,2018-04-28,2,Center for Native American and Indigenous Research: A Jefferson Legacy,Indigenous Voice: Language and Identity in America's Native Nations,,"Treuer, Anton",Anton Treuer,Professor of Ojibwe,Bemidji State University,,,,,,,,,"Treuer talks about the importance of tribal languages to identity development, native health, and academic enterprise.",LECTURE,CNAIR,Indigenous Studies|Linguistics|Education,Cultural competence; Ojibwa language,,,,American Philosophical Society. Library. Center for Native American and Indigenous Research.,,https://diglib.amphilsoc.org/islandora/object/video1496obj,video:1496,https://diglib.amphilsoc.org/islandora/object/video:1496,,,,,,,
115,April 2007,2007-4-26,2,,Imaging Mars,,"Squyres, Steven W.",Steven W. Squyres,Goldwin Smith Professor Of Astronomy,Cornell University,,,,,,,,,"Dr. Squyres talks about the Mars Rover projects, Spirit and Opportunity, and how those images have provided evidence of water of Mars.",LECTURE,,Applied Science,Outer space--Exploration; Imaging systems in astronomy,Mars,,,,,https://diglib.amphilsoc.org/islandora/object/video757obj,video:757,https://diglib.amphilsoc.org/islandora/object/video:757,,,,,,,
116,April 2007,2007-4-26,3,,Cell-CT: The 3D World of Cancer Cells,,"Nelson, Alan C.",Alan C. Nelson,Chairman and CEO,"VisionGate, Inc.",,,,,,,,,Dr. Nelson discusses his company's research into lung cancer cell imaging.,LECTURE,,Biology|Medicine,"Cancer, Research; Medical imaging; Microorganisms--Imaging; Lung cancer",,,,,,https://diglib.amphilsoc.org/islandora/object/video753obj,video:753,https://diglib.amphilsoc.org/islandora/object/video:753,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318809-Service%20File.mp4,,,,,,
117,April 2007,2007-4-26,4,,Imaging In Medicine,,"Bradley, William G., Jr.",William G. Bradley,"Professor and Chairman, Department of Radiology",University of California at San Diego,,,,,,,,,"Dr. Bradley interprets the world of medical imaging, from the x-ray to the MRI. His talk focus on brain diseases, specifically dementia.",LECTURE,,Biology|Medicine,X-rays--History; Medical imaging; Dementia,,,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=2110,https://diglib.amphilsoc.org/islandora/object/video750obj,video:750,https://diglib.amphilsoc.org/islandora/object/video:750,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318639-Service%20File.mp4,,,,,,
118,April 2007,2007-4-26,5,,Challenges and Opportunities in Global Health,,"Debas, Haile T.",Haile T. Debas,"Executive Director, Global Health Sciences",University of California at San Francisco,,,,,,,,,"Dr. Debas talks about the Global South remaining dependent on foreign aid. In Africa in particular, foreign aid can be misappropriated and has negatively affected the health of nations.",LECTURE,,"Medicine|Public Affairs, Public Policy and Public Administration",Global health; Epidemics,"Africa, Sub-Saharan--Economic conditions",,,,,https://diglib.amphilsoc.org/islandora/object/video762obj,video:762,https://diglib.amphilsoc.org/islandora/object/video:762,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318719-Service%20File.mp4,,,,,,
119,April 2007,2007-4-26,6,,Celebratory Concert In Honor Of Mary Maples Dunn And Richard S. Dunn,,Time for Three (Musical group),Time for Three,,,,,,,,,,,Three musicians from the Curtis Institute of Music perform a bluegrass-inspired piece in honor of Mary and Richard Dunn.,CONCERT,,,"Music, Performance",,,"Dunn, Richard S.",Curtis Institute of Music,,https://diglib.amphilsoc.org/islandora/object/video766obj,video:766,https://diglib.amphilsoc.org/islandora/object/video:766,https://diglib.amphilsoc.org/_flysystem/fedora/2024-01/318636-Service%20File.mp4,,,,,,
120,April 2007,2007-4-27,1,,"Barcelona and Modernity: Art and Social Movements in the ""City of Bombs""",,"Lubar, Robert S.",Robert S. Lubar,Associate Professor of Fine Arts,"Institute of Fine Arts, New York University",,,,,,,,,Lubar's lecture focuses on how art and social movements interact in the late 19th century and early 20th centuries.,LECTURE,,Art History,Art and society; Spain--History--20th century,"Spain, Barcelona, Art; Spain, Barcelona, Social movements",,,,,https://diglib.amphilsoc.org/islandora/object/video770obj,video:770,https://diglib.amphilsoc.org/islandora/object/video:770,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318618-Service%20File.mp4,,,,,,
121,April 2007,2007-4-27,2,,Popular Propaganda? Art and Culture in Revolutionary China,Henry Allen Moe Prize in the Humanities,"Mittler, Barbara, 1968-",Barbara Mittler,"Chair, Institute of Chinese Studies",Center of East Asian Studies at the University of Heidelberg,,,,,,,,,"Awarded the Henry Allen Moe Prize in the Humanities in 2009 for this lecture, Dr. Mittler discusses the disturbing popularity of Maoist propaganda in China, including among those people who lived through the Cultural Revolution.",LECTURE,,History|Art History,"Propaganda, Chinese; Art and society; China--History--20th century","China--History--Cultural Revolution, 1966-1976",,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=2119,https://diglib.amphilsoc.org/islandora/object/video774obj,video:774,https://diglib.amphilsoc.org/islandora/object/video:774,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318922-Service%20File.mp4,,,,,,
122,April 2007,2007-4-27,3,,Re-Reading William Penn’s 1681 Letter to the Kings of the Indians,,"Richter, Daniel K.",Daniel K. Richter,"Director, McNeil Center for Early American Studies",University of Pennsylvania,,,,,,,,,"Richter discusses Penn's 1681 letter to ""the Indian kings.""",LECTURE,"David Center, CNAIR",History|Early America|Indigenous Studies,"Sovereignty, History, 17th century; Friendship, History, 17th century","United States, Pennsylvania, History, 17th century",,"Penn, William, 1644-1718",,,https://diglib.amphilsoc.org/islandora/object/video777obj,video:777,https://diglib.amphilsoc.org/islandora/object/video:777,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318779-Service%20File.mp4,,,HSP digital object: http://digitalhistory.hsp.org/pafrm/doc/william-penn-kings-indians-pennsylvania-october-18-1681,,,
123,April 2007,2007-4-27,4,,"Protections, Privileges, and Patents: Intellectual Property in Plants from the Late Nineteenth Century to 1930",,"Kevles, Daniel J.",Daniel J. Kevles,Stanley Woodward Professor of History,Yale University,,,,,,,,,Dr. Kevles' lecture concerns the changes over the last three centuries of patent law.,LECTURE,,History|Law,"Intellectual property, United States, History, 19th century; Horticulture, United States, History, 19th century",,,,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=2097,https://diglib.amphilsoc.org/islandora/object/video781obj,video:781,https://diglib.amphilsoc.org/islandora/object/video:781,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318691-Service%20File.mp4,,,,,,
344,November 2013,2013-11-14,2,,Fig Leaves,,"Garber, Marjorie",Marjorie Garber,"William R. Kenan, Jr., Professor of English and of Visual and Environmental Studies",Harvard University,,,,,,,,,Dr. Garber's lecture discusses the representation of the fig leaf and collective memory: how the fashion of covering up statues has ebbed and flowed through time.,LECTURE,,Art History,Art history; Metaphor; Weeping fig,,,"Michelangelo Buonarroti, 1475-1564. David",,,https://diglib.amphilsoc.org/islandora/object/video1232obj,video:1232,https://diglib.amphilsoc.org/islandora/object/video:1232,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/319010-Service%20File.mp4,,,"Further reading: Garber, M. The Muses on Their Lunch Hour. (Fordham University Press : 2017)",,,
101,April 2006,2006-4-28,3,,Trends in French Science,,"Brézin, E.",Édouard Brézin,Président,Académie des Sciences (Institut de France),,,,,,,,,Dr. Brézin speaks about Franklin's influence on the French Academy of Sciences.,LECTURE,"History of Science, David Center",History|Early America|History of Science,"Science, France, 21st century",,,"Franklin, Benjamin, 1706-1790; France",Académie des Sciences,,https://diglib.amphilsoc.org/islandora/object/video682obj,video:682,https://diglib.amphilsoc.org/islandora/object/video:682,https://diglib.amphilsoc.org/_flysystem/fedora/2023-12/318806-Service%20File.mp4,,,,,,
420,November 2015,2015-11-13,2,,The Ups and Downs of Animal Abundance: Why Do Some Species Exhibit Population Cycles?,,"Hudson, Peter",Peter Hudson,"Willaman Professor of Biology and Director, Huck Institutes of Life Sciences and Center for Infectious Disease Dynamics",Pennsylvania State University,,,,,,,,,Dr. Hudson talks about various population cycles. Why do some animals have cycle fluctuations?,LECTURE,,Ecology|Biology,Biology; Animals; Population data,,,,,,https://diglib.amphilsoc.org/islandora/object/video1362obj,video:1362,https://diglib.amphilsoc.org/islandora/object/video:1362,,,,,,,